وطاب من~25#248#18#23
وقال ليس~87#3521#63#8,87#3603#126#90,87#3970#152#457,90#4134#31#140,90#4368#146#383,90#4473#193#488
وقال ليسأل~25#232#11#7,82#2507#185#142
وقال ليست~26#329#22#18
وقال ليصل~87#3107#81#41
وقال ليقم~87#3136#134#70,87#3136#144#70,87#3136#154#70,87#3136#163#70
وقال لينذر~17#174#47#194
وقال ما~41#1315#24#405,82#2147#32#234,82#2445#178#80,25#274#86#49,85#2934#70#80,87#3113#41#47,87#3277#43#211,87#3277#82#211,87#3277#99#211,87#3282#322#216,87#3295#284#229,87#3321#23#255,87#3326#162#260,87#3344#365#278,87#3448#41#382,87#3499#168#433,87#3582#139#69,87#3591#356#78,87#3620#197#107,87#3774#109#261,87#3793#19#280,87#3798#302#285,87#3932#33#419,87#3970#64#457,87#3970#361#457,87#3979#444#466,87#3990#128#477,90#4129#45#135,90#4186#173#192,90#4230#117#236,90#4258#66#264,90#4304#69#310,90#4458#52#473,37#568#0#177
وقال ماأقبح~87#3230#431#164
وقال ماأكثر~87#3598#182#85
وقال مالك~52#1538#328#52,81#1933#91#35,87#3138#148#72,87#3327#344#261,87#3331#80#265,87#3353#119#287,87#3457#323#391,87#3490#52#424,87#3680#286#167,87#3943#194#430,87#3950#185#437,87#3965#238#452,90#4535#115#550
وقال متى~90#4094#79#100
وقال مجاهد~87#3127#204#61,87#3266#74#200,87#3705#46#192,87#3896#197#383
وقال محمد~41#1016#1#105,41#1084#24#173,41#1085#10#174,41#1085#20#174,41#1085#31#174,41#1085#41#174,41#1085#63#174,41#1085#102#174,41#1129#70#218,41#1129#114#218,41#1129#144#218,41#1129#164#218,41#1130#1#219,41#1130#23#219,41#1130#37#219,41#1130#48#219,41#1130#69#219,41#1130#85#219,41#1130#100#219,41#1130#116#219,41#1130#151#219,41#1130#179#219,41#1131#1#220,41#1131#20#220,41#1196#179#285,52#1540#146#54,87#3142#18#76,87#3781#278#268,87#3887#258#374,87#3896#103#383,87#3896#187#383,87#3907#237#394,90#4270#37#276,90#4289#25#295,90#4329#74#343,90#4366#90#381,90#4380#73#395,90#4422#36#437,39#750#0#69
وقال مخبرا~87#3636#263#123,87#3637#255#124
وقال مخمش~41#1015#46#104
وقال مدني~87#3830#274#317
وقال مر~41#1297#86#387
وقال مرة~41#1015#88#104,87#3229#32#163,87#3243#301#177,87#3243#453#177,87#3297#350#231,87#3324#262#258,87#3329#300#263,87#3331#97#265,87#3331#262#265,87#3334#261#268,87#3337#405#271,87#3343#340#277,87#3432#204#366,87#3442#352#376,87#3454#194#388,87#3492#108#426,87#3522#319#9,87#3528#42#15,87#3542#132#29,87#3551#121#38,87#3598#376#85,87#3599#128#86,87#3742#65#229,87#3743#93#230,87#3752#9#239,87#3758#317#245,87#3761#161#248,87#3762#122#249,87#3776#8#263,87#3823#192#310,87#3870#59#357,87#3880#181#367,87#3909#201#396,87#3923#250#410,87#3997#8#484
وقال مروان~87#3962#416#449
وقال مسكين~90#4151#4#157
وقال مسيلة~46#1500#89#72
وقال مشايخ~90#4243#38#249
وقال مطالعة~90#4102#33#108
وقال مطرف~87#3410#273#344,90#4392#0#407
وقال مظفر~41#1211#0#300
وقال معاذ~90#4415#141#430
وقال معاوية~52#1539#263#53,87#3757#188#244,90#4283#27#289,90#4283#82#289
وقال معروف~41#995#143#84
وقال مفتاح~87#3661#295#148
وقال مكحول~87#3468#330#402,87#3890#193#377,90#4218#117#224
وقال ملك~87#3533#289#20
وقال من~44#1419#65#23,49#1514#135#374,49#1518#64#378,60#1657#91#455,60#1663#121#461,79#1886#150#8,82#2066#156#153,82#2147#0#234,82#2274#202#361,82#2562#80#197,25#271#12#46,87#3236#131#170,87#3369#71#303,87#3517#209#4,30#352#201#12,87#3538#202#25,87#3550#368#37,87#3551#6#38,87#3675#388#162,87#3741#95#228,87#3756#209#243,87#3764#105#251,87#3833#111#320,87#3838#197#325,87#3956#150#443,87#3956#158#443,87#3978#278#465,87#3984#135#471,87#3984#163#471,90#4127#85#133,90#4138#118#144,90#4140#42#146,90#4229#95#235,90#4268#66#274,90#4456#191#471,90#4500#66#515,37#569#0#178,39#726#120#45
وقال منصور~41#1028#0#117,87#3744#102#231
وقال موبخا~87#3679#300#166
وقال موسى~82#2150#189#237,87#3621#65#108,87#3839#272#326,87#3880#327#367,87#3887#292#374
وقال ميت~82#2127#85#214
وقال ميمون~87#3887#147#374
وقال ناجوني~90#4406#103#421
وقال نزل~90#4255#205#261
وقال نزلت~87#3123#319#57
وقال نظيره~87#3603#0#90
وقال نعم~87#3424#328#358
وقال نعيم~87#3717#227#204
وقال هؤلاء~87#3968#284#455
وقال هارون~52#1537#231#51
وقال هاشم~87#3833#403#320
وقال هبوه~90#4259#78#265
وقال هذا~42#1351#64#16,46#1493#20#65,49#1520#128#380,78#1880#121#53,85#2936#130#82,87#3240#483#174,87#3376#401#310,87#3493#347#427,87#3507#96#441,87#3530#390#17,87#3626#164#113,87#3663#204#150,87#3700#104#187,87#3804#73#291,87#3807#63#294,87#3823#75#310,87#3893#311#380,90#4051#181#57,90#4169#14#175,90#4219#184#225,90#4351#26#366,90#4393#160#408,90#4402#19#417
وقال هذه~85#2927#113#73,87#3181#42#115,87#3833#400#320,87#3967#67#454,87#3970#69#457,90#4300#97#306,90#4456#89#471
وقال هشام~87#3144#32#78,87#3240#608#174
وقال هكذا~78#1877#216#50,87#3313#244#247,90#4273#171#279,39#759#9#78
وقال هل~87#3293#157#227
وقال هلك~87#3436#287#370
وقال هم~79#1885#191#6
وقال ههنا~39#837#3#158
وقال هو~26#327#106#16,87#3334#332#268,87#3755#114#242,87#3755#150#242,87#3762#133#249,87#3833#285#320,87#3934#396#421,87#3972#138#459,39#732#109#51
وقال وآتيناه~37#488#74#97
وقال وأخرج~87#3352#401#286
وقال وأسروا~39#726#142#45
وقال وأطيعوا~81#1932#0#34
وقال وأقم~87#3078#195#12
وقال وأنت~87#3434#266#368
وقال وإن~49#1514#76#374
وقال وإنا~87#3745#132#232
وقال واتبع~37#471#55#79
وقال واتقوا~87#3250#11#184
وقال واستحب~87#3374#106#308
وقال واشتروا~3#91#0#216
وقال واشوقاه~87#3299#23#233
وقال واصبر~87#3403#326#337
وقال واعلموا~90#4378#187#393
وقال والآخرة~87#3636#121#123,87#3797#288#284
وقال والله~87#3741#393#228,87#3765#339#252,39#726#115#45
وقال وتمت~39#732#112#51
وقال وتوبوا~37#580#183#189
وقال وجحدوا~3#90#87#215
وقال وجعلنا~82#2425#101#60,37#463#0#71
وقال وجوه~49#1517#133#377
وقال ودع~87#3526#379#13
وقال ورجل~87#3864#65#351
وقال ورفع~37#462#71#70
وقال وشروه~87#3636#125#123
وقال وعزتك~54#1549#109#55
وقال وعلى~90#4292#14#298,90#4292#22#298,37#588#152#197
وقال وقد~87#3543#82#30
وقال وكان~87#3436#53#370,90#4509#49#524
وقال وكذبوا~37#471#61#79
وقال وكل~30#366#127#26
وقال وكيع~87#3352#266#286,87#3366#319#300,90#4263#0#269
وقال وكيف~87#3628#150#115
وقال ولا~30#366#101#26,87#3673#320#160,37#471#31#79,39#726#130#45,3#94#91#219
وقال ولقد~87#3156#92#90,37#471#22#79,39#732#122#51
وقال ولله~87#3745#139#232
وقال ولنبلونكم~25#252#46#27,37#463#21#71
وقال ولو~37#462#61#70
وقال وليس~87#3271#9#205
وقال وما~80#1893#257#18,82#2351#113#438,87#3157#253#91,87#3849#261#336,39#717#168#36
وقال ومن~49#1513#75#373,87#3267#33#201,31#375#170#35,37#471#39#79,37#570#0#179,37#583#154#192,39#730#79#49
وقال وننزل~39#745#116#64
وقال وهب~87#3327#261#261,87#3474#125#408,87#3514#290#448,90#4272#197#278,90#4289#47#295
وقال وهذا~90#4268#130#274
وقال وهل~81#1914#67#16
وقال وهو~76#1862#40#226,90#4378#203#393
وقال ويحسبون~3#88#99#213
وقال ويحكم~90#4065#71#71
وقال ويستجيب~87#3256#396#190
وقال ويل~87#3489#117#423
وقال ويله~87#3353#17#287
وقال يأمركم~87#3731#13#218
وقال يا~41#1112#4#201,41#1117#155#206,42#1350#166#15,45#1475#42#349,46#1507#156#79,46#1508#110#80,76#1857#35#221,79#1887#56#10,82#1980#172#67,82#2239#115#326,85#2926#51#72,87#3083#200#17,87#3336#211#270,87#3914#356#401,87#3923#136#410,87#3958#7#445,87#3974#377#461,87#3997#117#484,90#4061#93#67,90#4278#101#284,90#4303#134#309,90#4384#91#399,90#4384#182#399,90#4386#90#401,90#4411#77#426,90#4459#159#474,90#4459#216#474,91#4678#32#110,39#743#109#62,39#826#129#147,40#919#79#115
وقال ياشيخ~87#3437#382#371
وقال يحيى~41#1013#140#102,41#1013#154#102,41#1013#166#102,41#1014#1#103,41#1014#16#103,41#1014#22#103,41#1014#34#103,82#2086#0#173,82#2573#0#208,87#3328#0#262,87#3355#40#289,87#3496#61#430,87#3500#18#434,87#3757#373#244,87#3769#309#256,87#3878#373#365,39#743#124#62
وقال يحيي~90#4059#117#65,90#4218#129#224,90#4236#38#242,90#4236#95#242,90#4237#158#243,90#4247#50#253,90#4255#150#261,90#4273#110#279,90#4274#71#280,90#4286#117#292,90#4296#156#302,90#4317#185#323,90#4339#33#354,90#4355#83#370,90#4403#67#418,90#4404#0#419,90#4404#181#419,90#4432#27#447,90#4465#204#480,90#4478#0#493
وقال يزيد~44#1453#0#57,90#4473#190#488
وقال يصير~87#3969#233#456
وقال يعجبني~87#3971#360#458,87#3976#286#463
وقال يعزله~87#3820#42#307
وقال يعطون~87#3967#40#454
وقال يعلمون~3#84#18#209,3#84#24#209,3#90#94#215
وقال يفنى~25#240#119#15
وقال يكفيك~49#1517#154#377
وقال يكون~60#1687#15#485,87#3978#371#465,90#4393#47#408
وقال ينالهم~87#3745#125#232
وقال يوسف~41#1063#132#152,41#1064#34#153,41#1064#67#153,41#1064#82#153,41#1064#112#153,41#1064#144#153,41#1064#160#153,41#1065#1#154,41#1065#14#154,41#1065#22#154,41#1065#57#154,41#1065#118#154,41#1066#31#155,41#1066#135#155,41#1066#155#155,41#1067#1#156,82#2684#0#319,87#3137#210#71,87#3174#310#108,87#3205#55#139,87#3363#412#297,87#3535#398#22,87#3537#241#24,87#3770#200#257,87#3984#5#471,87#3986#105#473,90#4281#0#287,90#4351#30#366,90#4421#204#436,90#4444#268#459,90#4451#109#466
وقال يونس~87#3897#18#384,90#4229#0#235
وقالا يا~74#1852#38#67
وقالالذين لا~39#705#136#24
وقالت قد~87#3834#229#321,90#4349#172#364,90#4455#168#470
وقالت كان~87#3110#264#44
وقالت له~41#1324#119#414,77#1866#202#57,77#1869#138#60,80#1896#7#21,87#3931#49#418
وقالت لي~80#1895#115#20,80#1900#241#25,90#4301#19#307,90#4521#83#536
وقالت هذا~87#3991#234#478
وقالت يا~80#1893#235#18,90#4391#10#406
وقالت* يا~82#2337#67#424
وقالخائفا على~82#2467#74#102
وقالوا إن~39#719#0#38
وقالوا حدثنا~87#3326#333#260
وقالوا ذلك~87#3535#441#22
وقالوا فيه~44#1414#43#18
وقالوا قد~41#1137#137#226,87#3855#171#342
وقالوا كان~87#3775#333#262
وقالوا لا~54#1551#52#57,82#2190#56#277,87#3151#116#85,87#3151#145#85,87#3471#148#405,87#3726#298#213,87#3860#396#347,87#3958#162#445
وقالوا له~75#1854#26#69,87#3492#48#426,87#3879#378#366,90#4458#295#473,90#4459#27#474
وقالوا لي~90#4287#56#293
وقالوا ما~87#3490#240#424,90#4478#152#493
وقالوا هو~90#4301#95#307
وقالوا ولا~39#751#143#70
وقالوا وما~37#588#169#197
وقالي لي~85#2878#0#24
وقام الحق~82#1939#170#26
وقام به~85#2978#118#124
وقام ثم~87#3568#276#55
وقام عليهم~10#145#192#43
وقام عند~82#2342#213#429
وقام عنه~82#2219#53#306,82#2671#235#306,90#4404#131#419
وقام في~74#1851#50#66,87#3465#104#399
وقام لك~87#3993#30#480
وقام له~87#3519#248#6
وقام مع~60#1671#19#469
وقام من~90#4167#183#173
وقامت به~87#3797#17#284
وقامت بها~82#2137#53#224
وقامسمعت أبا~90#4534#139#549
وقاموا إلى~82#2316#119#403,87#3950#150#437
وقاموا كما~79#1884#107#4
وقاموا له~82#2638#110#273
وقاه من~82#2411#154#46
وقاية الحق~82#2040#28#127,82#2439#307#74
وقب قال~87#3912#362#399
وقبائلهم ثم~39#742#19#61
وقبائلهم فإن~25#308#117#83
وقبحه في~86#3024#84#170
وقبر عند~73#1849#118#64
وقبره عليه~41#1105#30#194
وقبض رسول~87#3174#235#108,87#3737#63#224
وقبضة من~90#4300#165#306,90#4300#168#306
وقبضته ومن~82#2439#309#74
وقبل أن~71#1830#70#139,87#3083#311#17,87#3105#334#39,87#3105#444#39,87#3567#333#54,87#3567#867#54,87#3668#205#155
وقبل الخلق~82#1944#145#31
وقبل العبد~83#2810#50#39
وقبل بين~85#2881#61#27
وقبل ذلك~19#184#51#149,83#2822#51#51,87#3415#102#349
وقبل كان~90#4444#224#459
وقبل من~87#3315#187#249,87#3847#383#334
وقبلت بين~41#1192#93#281
وقبلت في~87#3852#10#339
وقبلت وقال~85#2981#89#127
وقبلتهم إلى~87#3115#47#49
وقبلني وكان~87#3802#3#289
وقبله من~41#1147#39#236
وقبلها الذي~87#3759#139#246
وقبلها منه~87#3567#1301#54
وقبلوه ومن~78#1880#95#53
وقبول الحق~41#1034#137#123
وقبول ما~82#2197#124#284,82#2777#38#412,87#3547#108#34,91#4636#55#68,40#875#14#71
وقبوله ما~82#2127#212#214
وقبولها ما~82#2407#17#42
وقبولهاقوله تعالى~82#2593#212#228
وقبيصة بن~87#3484#201#418
وقبيله من~82#2139#43#226,37#476#136#84
وقت أبي~87#3349#199#283
وقت أن~39#763#104#82
وقت أو~41#1329#108#419
وقت إلا~82#2293#18#380,87#3228#204#162,87#3228#450#162
وقت إلى~41#1301#32#391,41#1329#106#419,82#2575#153#210,87#3391#53#325,87#3523#40#10
وقت الخلق~82#2289#48#376
وقت الله~82#1984#30#71,82#2072#31#159,82#2513#237#148
وقت بعد~82#2478#95#113,87#3657#331#144
وقت بما~41#1014#47#103,49#1516#10#376,90#4059#130#65,90#4426#165#441
وقت ثم~87#3099#223#33
وقت حتى~82#2303#245#390,87#3790#75#277
وقت على~82#2726#43#361,87#3187#75#121
وقت عنه~87#3227#398#161
وقت فإذا~87#3113#45#47
وقت في~82#2600#113#235
وقت قال~49#1520#11#380,39#816#170#137
وقت قوله~82#2303#67#390
وقت كان~87#3114#657#48
وقت كل~25#315#7#90
وقت لأن~82#2759#136#394
وقت لا~87#3380#235#314,87#3974#135#461,90#4184#93#190
وقت لم~82#2728#25#363
وقت له~82#2147#192#234
وقت لهم~82#2402#14#37
وقت ما~63#1725#13#167,90#4208#23#214,37#520#3#129,39#755#79#74,39#831#201#152
وقت مع~87#3243#317#177,87#3243#469#177
وقت من~41#1039#100#128,41#1130#158#219,41#1251#58#340,12#149#34#52,82#2478#97#113,87#3099#417#33,87#3213#48#147,87#3421#401#355,87#3585#204#72,87#3585#422#72,87#3825#131#312,87#3960#345#447,90#4132#62#138,90#4361#197#376
وقت منه~87#3104#204#38
وقت هذه~87#3186#340#120
وقت وإن~87#3225#42#159,87#3226#151#160,87#3921#320#408
وقت وفي~1#7#59#87
وقت وقد~87#3201#7#135
وقت ولا~82#2153#99#240,82#2596#100#231,82#2746#170#381,87#3658#191#145,87#3847#18#334,39#716#18#35
وقت ومن~82#2286#112#373,87#3257#319#191,87#3257#414#191,90#4146#51#152
وقت يكون~90#4294#170#300
وقتا أن~90#4540#59#555
وقتا إذا~87#3553#355#40,87#3555#25#42
وقتا بعد~82#2286#110#373,87#3227#363#161,87#3227#379#161,87#3228#192#162,87#3228#202#162,87#3228#438#162,87#3228#448#162,87#3790#73#277,87#3792#231#279
وقتا على~87#3187#73#121
وقتا في~90#4320#44#326,90#4522#5#537
وقتا لا~87#3128#137#62
وقتا ما~41#1252#18#341
وقتا من~90#4390#242#405,90#4519#104#534,90#4520#65#535,41#931#57#20
وقتاويستطاع هذا~91#4625#49#57
وقتقال ابن~82#2249#96#336
وقتك الذي~87#3258#127#192,90#4518#178#533
وقتك من~91#4584#88#16
وقتك هذا~87#3318#246#252,87#3810#383#297
وقتك ولا~87#3949#402#436
وقتكسمعت عبد~41#1209#23#298
وقتكقوله تعالى~82#2308#25#395
وقتل النفس~82#1975#153#62
وقتل بعضهم~30#363#127#23
وقتل بها~90#4378#43#393
وقتلت في~87#3332#40#266,87#3447#351#381,87#3744#65#231
وقتنا هذا~87#3334#103#268,87#3343#275#277,87#3362#441#296,87#3807#345#294,87#3878#382#365,87#3919#55#406,87#3941#7#428
وقتنا وكان~87#3342#401#276
وقته أبي~90#4142#205#148
وقته أو~87#3110#194#44,87#3574#335#61,87#3689#256#176,87#3701#308#188
وقته إن~90#4146#117#152
وقته الذي~82#2150#151#237,89#4006#22#43,90#4145#122#151
وقته ثم~84#2849#316#2,87#3227#29#161
وقته حتى~90#4156#55#162
وقته ذلك~87#3257#239#191
وقته على~90#4181#130#187
وقته عن~87#3258#292#192
وقته فإذا~90#4569#90#584
وقته فإن~41#1064#100#153
وقته فلا~82#2241#37#328
وقته في~87#3200#445#134
وقته كان~41#1062#57#151
وقته لم~37#587#128#196
وقته له~41#1214#64#303,41#1248#99#337,41#1250#75#339,90#4059#11#65
وقته من~41#1051#36#140,44#1426#134#30,82#2652#41#287,87#3323#367#257
وقته هذا~64#1728#99#183,87#3226#230#160
وقته وإن~87#3557#56#44
وقته وكان~41#1135#144#224,41#1203#24#292,87#3332#412#266,90#4089#8#95
وقته ولا~87#3258#114#192,90#4243#12#249
وقته ومن~41#1128#4#217,41#1131#52#220,41#1245#84#334,41#1245#95#334
وقته وهو~87#3226#132#160
وقتهأما سمعت~37#587#136#196
وقتها على~87#3864#134#351
وقتها في~41#1328#42#418,41#1333#83#423,87#3464#273#398
وقتها لم~87#3681#58#168
وقتها من~41#1332#125#422
وقتها وإن~87#3115#104#49
وقتها وكان~87#3683#176#170
وقتها ولم~87#3864#162#351
وقتهقال ابن~90#4134#23#140
وقتهوسئل أبو~90#4466#204#481
وقتهوقال ابن~39#772#42#91
وقتهوقال بعض~87#3513#47#447
وقتهوقال بعضهم~82#2018#120#105
وقتوقال بعضهم~39#763#111#82
وقتي هذا~34#416#104#110,34#416#181#110
وقتيأوقفني وقال~85#2860#3#6
وقتيبة بن~83#2832#109#61
وقتيذ في~78#1876#64#49
وقتين إذا~87#3759#331#246
وقد آتيناك~82#2361#32#448
وقد آخى~87#3906#150#393
وقد آلى~87#3232#110#166
وقد أبصر~90#4327#202#341
وقد أبليت~25#309#52#84
وقد أبيحت~87#3911#162#398
وقد أتى~41#1139#179#228,67#1765#2#31,67#1765#9#31
وقد أثر~90#4440#15#455
وقد أجبت~91#4707#0#139
وقد أجبتك~30#348#129#8
وقد أجلك~40#905#25#101
وقد أجمع~25#282#72#57,87#3725#137#212
وقد أجمعوا~87#3721#335#208
وقد أجمل~87#3219#235#153,87#3262#377#196,87#3282#342#216
وقد أحب~87#3652#253#139
وقد أحد~38#655#4#120
وقد أحدث~87#3225#115#159
وقد أحدثت~87#3509#41#443
وقد أحسن~87#3540#56#27,87#3824#309#311
وقد أحكم~87#3164#77#98,87#3246#174#180,87#3246#330#180,87#3384#261#318,87#3813#408#300
وقد أحوجتك~86#3042#6#188
وقد أخبر~49#1517#44#377,82#2745#145#380,87#3135#44#69,87#3203#271#137,87#3245#284#179,87#3265#182#199,87#3266#273#200,87#3317#173#251,87#3392#239#326,87#3408#236#342,87#3529#406#16,87#3597#176#84,87#3675#274#162,87#3692#44#179,87#3925#386#412
وقد أخبرنا~87#3423#227#357
وقد أخبرني~87#3569#379#56
وقد أختلف~87#3401#22#335
وقد أخذ~41#1037#78#126,83#2810#33#39,85#2950#109#96,87#3727#335#214
وقد أخذت~85#2950#25#96
وقد أخذه~90#4526#71#541
وقد أخرج~90#4232#123#238
وقد أخرجنا~82#1987#219#74
وقد أخفى~87#3457#120#391
وقد أدخل~32#381#123#117,87#3948#13#435
وقد أدى~87#3233#136#167,87#3234#274#168
وقد أراد~87#3289#71#223,87#3289#81#223,87#3289#426#223,87#3289#436#223
وقد أردت~17#171#200#191
وقد أرسلني~87#3906#74#393
وقد أساء~87#3579#192#66
وقد أسخط~87#3243#21#177,87#3532#130#19
وقد أسفرت~85#2906#16#52
وقد أسقط~87#3174#13#108
وقد أسقطت~25#285#61#60
وقد أسن~87#3757#76#244
وقد أسند~87#3104#304#38,87#3800#156#287
وقد أسنداه~87#3384#209#318
وقد أسنده~87#3217#181#151,87#3304#442#238,87#3674#158#161,87#3912#176#399,87#3912#366#399
وقد أشبعنا~87#3703#324#190
وقد أشرب~87#3601#126#88
وقد أشرقت~7#121#194#10
وقد أصاب~87#3463#29#397,87#3550#11#37,31#375#186#35,87#3863#190#350
وقد أصابه~77#1866#141#57,87#3377#310#311,30#369#126#29
وقد أضر~87#3787#330#274
وقد أطبق~39#725#69#44
وقد أطلع~87#3572#148#59
وقد أطلقت~90#4413#110#428
وقد أظلمت~87#3620#135#107
وقد أظهرت~82#1977#68#64
وقد أعرضت~87#3244#298#178
وقد أعرضنا~41#1319#54#409
وقد أعطانا~82#2256#52#343
وقد أعطاني~90#4550#69#565
وقد أعطى~1#14#32#94
وقد أعطي~41#1083#100#172,87#3459#227#393
وقد أفاض~87#3712#255#199
وقد أفسدنا~32#392#112#128
وقد أقبل~4#114#104#1
وقد أقبلت~82#2375#91#10
وقد أقسم~87#3102#39#36,87#3104#220#38,87#3107#241#41,87#3107#386#41
وقد أكثرت~82#2629#124#264
وقد أكل~87#3764#208#251,87#3824#159#311
وقد ألبسته~85#2995#18#141
وقد ألقي~46#1506#11#78
وقد ألهم~20#189#186#154
وقد ألهمت~90#4396#118#411
وقد أمر~82#2198#206#285,25#271#19#46,87#3108#192#42,87#3131#121#65,87#3176#191#110,87#3276#476#210,87#3328#156#262,87#3406#377#340,87#3425#56#359,87#3547#114#34,87#3596#214#83,87#3597#96#84,87#3916#359#403,87#3917#202#404
وقد أمرت~87#3218#22#152
وقد أمرك~87#3256#288#190
وقد أمرنا~87#3156#176#90,87#3156#207#90
وقد أمروا~82#2065#122#152
وقد أمسك~90#4458#38#473
وقد أملت~7#133#266#22
وقد أمن~30#366#173#26
وقد أمنتكما~87#3448#407#382
وقد أنزل~90#4305#158#311
وقد أنزلت~87#3422#245#356
وقد أنشد~87#3888#83#375
وقد أنشدنا~87#3338#307#272,87#3877#91#364,87#3892#88#379,87#3905#65#392
وقد أنعم~7#126#0#15,7#127#76#16
وقد أنكر~87#3617#350#104,87#3936#385#423
وقد أهلك~87#3310#37#244
وقد أوجبنا~67#1761#35#27
وقد أوحشتني~39#788#42#107
وقد أوردنا~71#1837#70#146
وقد ابتدع~87#3346#215#280
وقد ابتلينا~30#349#227#9,87#3736#155#223
وقد اتاه~87#3615#446#102
وقد اتفق~87#3401#152#335
وقد اتفقت~82#2589#144#224
وقد اتيت~76#1859#10#223
وقد اجتمع~87#3187#124#121
وقد اجتمعا~41#1311#41#401
وقد اجتمعت~30#358#205#18
وقد اجتمعوا~87#3502#5#436
وقد احتجت~7#126#47#15,7#127#123#16
وقد احتضر~90#4454#38#469
وقد اخبر~46#1504#97#76,60#1663#219#461
وقد اخترت~37#525#167#134
وقد اختلف~87#3374#198#308,87#3374#322#308,87#3556#78#43,87#3778#89#265,87#3866#215#353,87#3879#308#366
وقد اختلفت~87#3866#358#353
وقد اخذن~77#1868#235#59
وقد اخرج~76#1861#167#225
وقد ادخر~87#3544#395#31
وقد اذنت~28#339#95#36
وقد استحب~87#3690#114#177
وقد استدل~69#1793#134#8,32#385#59#121
وقد استعاروا~60#1677#23#475
وقد استعمل~87#3131#288#65
وقد استغرق~87#3467#84#401
وقد استقصيت~45#1476#36#350
وقد استنبطنا~87#3492#132#426
وقد استوت~82#2759#111#394
وقد استوجبت~87#3222#231#156
وقد استوينا~30#355#318#15
وقد اشتراها~87#3605#27#92
وقد اشترط~87#3157#234#91,87#3186#70#120,87#3383#168#317,87#3595#405#82,87#3731#219#218
وقد اشترك~87#3620#340#107
وقد اشتركنا~87#3423#259#357
وقد اشترى~87#3967#55#454
وقد اشتريت~90#4368#76#383
وقد اشتعلت~90#4535#210#550
وقد اشتغل~82#2692#189#327
وقد اشتهر~87#3504#246#438,87#3766#74#253
وقد اشهده~82#2436#227#71
وقد اصطفيتك~85#2957#107#103
وقد اعتبرت~87#3151#35#85
وقد اعتقدت~82#2461#248#96,90#4298#68#304
وقد اعتقدوا~37#556#135#165
وقد افتتح~87#3111#75#45
وقد افترض~87#3997#350#484
وقد اقتتل~31#376#243#36
وقد اقتصرنا~90#4025#23#31
وقد التزق~90#4518#58#533
وقد امنت~76#1861#57#225
وقد انتقل~87#3770#321#257
وقد انحلت~79#1883#188#2,87#3243#49#177
وقد انصرف~87#3824#246#311,87#3971#36#458
وقد انفقت~76#1856#100#220
وقد انقطعت~87#3445#116#379
وقد انكشف~87#3800#268#287,87#3800#313#287
وقد انكفت~8#136#136#27
وقد اوجبوا~67#1780#102#46
وقد اوحى~60#1658#174#456
وقد اوصى~60#1677#262#475
وقد باعوه~87#3605#20#92
وقد بان~64#1737#88#192,71#1833#154#142
وقد بدأتك~8#137#169#28,86#3042#12#188
وقد بذل~72#1840#38#158
وقد بسط~4#114#114#1
وقد بشروا~87#3447#191#381
وقد بعت~90#4519#230#534
وقد بعته~87#3953#156#440
وقد بعث~87#3823#118#310
وقد بعثها~90#4142#29#148
وقد بعثهما~87#3435#174#369
وقد بقي~67#1780#54#46,87#3345#78#279,87#3646#30#133,87#3646#133#133,87#3772#4#259,90#4179#13#185,91#4574#0#6
وقد بكر~87#3944#142#431
وقد بلغت~82#2667#168#302
وقد بلغنى~39#778#35#97
وقد بلغني~31#377#168#37
وقد بلوتك~86#3048#120#194
وقد بورك~87#3221#196#155
وقد بين~57#1602#67#173,58#1612#127#13
وقد بينا~32#388#61#124
وقد بينت~30#351#164#11
وقد تأخر~87#3867#382#354,87#3867#427#354
وقد تأول~87#3199#414#133,87#3859#188#346,87#3860#167#347
وقد تاه~87#3468#19#402
وقد تبدل~87#3672#116#159
وقد تبطل~87#3766#365#253
وقد تبين~7#125#31#14,70#1806#135#53,71#1835#164#144
وقد تتابع~87#3281#399#215
وقد تترادف~87#3281#380#215
وقد تتغير~87#3599#486#86
وقد تحصل~90#4506#158#521
وقد تحمله~90#4471#0#486
وقد تحول~83#2836#178#65
وقد تختلف~87#3770#46#257,90#4168#235#174
وقد تداوى~87#3547#160#34
وقد تدخله~87#3294#410#228
وقد تدرعنا~90#4537#241#552
وقد تدلت~41#1173#47#262
وقد ترد~87#3282#7#216
وقد ترك~82#2137#114#224
وقد تركت~87#3731#190#218
وقد ترى~85#2921#23#67,30#363#146#23,90#4165#120#171
وقد تزوج~87#3924#31#411
وقد تزينوا~60#1677#27#475,37#557#133#166
وقد تستعمل~87#3691#185#178
وقد تسمى~87#3671#174#158
وقد تشرف~87#3586#82#73
وقد تشغل~87#3509#15#443
وقد تصح~87#3883#93#370,87#3883#117#370
وقد تصدقت~90#4458#19#473
وقد تضطرب~87#3537#36#24
وقد تطمئن~87#3988#131#475
وقد تعرى~90#4394#171#409
وقد تعلق~85#2931#141#77
وقد تعلم~69#1798#7#13,85#2872#156#18
وقد تغتر~82#2073#16#160
وقد تغلب~87#3800#26#287
وقد تغير~82#1986#103#73
وقد تفعل~32#385#16#121
وقد تفقد~86#3021#110#167
وقد تقاتل~90#4541#245#556
وقد تقدم~46#1485#15#57
وقد تقدمت~82#2162#135#249
وقد تكفل~81#1905#83#7
وقد تكلم~87#3639#89#126,90#4462#229#477
