فتسامع بها~87#3682#280#169
فقال أمات~90#4333#179#348
فقال أمارة~87#3647#125#134
فقال أمت~41#1008#83#97
فقال أمرت~87#3297#132#231
فقال أمرتني~90#4187#95#193,90#4325#26#331
فقال أمركم~90#4147#140#153
فقال أمرني~90#4030#202#36
فقال أمرها~87#3969#453#456
فقال أمن~87#3135#80#69
فقال أمنت~90#4384#157#399
فقال أن~41#1046#57#135,41#1060#159#149,41#1062#41#151,41#1200#117#289,41#1201#133#290,41#1246#100#335,14#157#17#66,82#2009#47#96,82#2254#87#341,82#2299#72#386,82#2431#188#66,82#2654#34#289,87#3250#107#184,87#3275#398#209,87#3276#143#210,87#3470#122#404,87#3710#333#197,87#3731#376#218,87#3810#152#297,87#3897#154#384,90#4119#57#125,90#4206#63#212,90#4206#72#212,90#4236#31#242,90#4258#69#264,90#4258#81#264,90#4258#91#264,90#4258#125#264,90#4258#139#264,90#4258#152#264,90#4294#52#300,90#4338#180#353,90#4346#214#361,90#4366#70#381,90#4366#139#381,90#4420#177#435,90#4426#159#441,90#4426#192#441,90#4437#152#452,90#4448#91#463,90#4449#101#464,37#445#72#53,39#812#50#133,41#936#101#25
فقال أنا~41#1165#0#254,41#1189#157#278,41#1287#13#376,82#2137#144#224,82#2411#95#46,82#2416#296#51,82#2518#41#153,87#3083#274#17,87#3143#231#77,87#3339#393#273,87#3502#19#436,87#3586#220#73,87#3593#27#80,87#3626#160#113,87#3639#276#126,87#3787#188#274,87#3848#246#335,87#3924#108#411,90#4529#163#544
فقال أنت~41#1158#109#247,87#3567#1099#54,87#3593#20#80,87#3593#39#80,87#3628#19#115,87#3685#18#172,87#3818#124#305,87#3935#194#422,90#4188#8#194,90#4274#103#280,39#747#18#66
فقال أنتم~41#1129#101#218,87#3220#16#154,87#3220#310#154,87#3606#24#93,90#4442#109#457
فقال أنزه~90#4396#208#411
فقال أنس~87#3818#267#305
فقال أنشد~87#3494#108#428
فقال أنشدك~87#3454#58#388
فقال أنشدني~41#1178#71#267
فقال أنفق~25#269#102#44
فقال أنفقوا~25#258#104#33,87#3692#290#179
فقال أنه~87#3943#79#430
فقال أنوار~82#2320#57#407
فقال أهذه~87#3577#355#64
فقال أهل~41#1042#153#131,87#3697#138#184,90#4347#67#362
فقال أهلهم~41#1244#78#333
فقال أو~87#3152#376#86,87#3186#176#120,87#3186#199#120,87#3454#173#388,87#3495#161#429,87#3732#306#219,87#3984#295#471,90#4078#189#84,39#798#40#119
فقال أواه~82#2035#205#122
فقال أوثر~90#4389#100#404
فقال أوصني~44#1454#177#58,81#1927#27#29
فقال أوصنيفقال~41#1162#27#251,82#2099#118#186
فقال أوصيك~41#1315#151#405
فقال أوقظ~87#3176#259#110
فقال أوقفني~87#3437#182#371,87#3437#378#371,87#3613#230#100
فقال أول~82#2670#217#305,87#3385#275#319
فقال أولئك~87#3547#299#34
فقال أوله~87#3400#77#334,87#3511#298#445
فقال أولها~87#3348#316#282,90#4463#69#478
فقال أي~41#1179#74#268,44#1446#71#50,87#3682#299#169,90#4232#29#238,90#4318#76#324,90#4518#43#533,41#988#92#77
فقال أيش~41#1097#93#186
فقال أيغضبون~87#3726#244#213
فقال أيكم~87#3677#69#164
فقال أين~87#3128#17#62,87#3353#83#287,87#3785#234#272,87#3786#131#273,87#3858#146#345,87#3879#184#366,87#3962#369#449,90#4386#11#401
فقال أيها~87#3811#273#298,87#3973#165#460,90#4337#42#352
فقال أيهما~87#3504#217#438
فقال إبراهيم~41#1215#3#304,60#1672#243#470,87#3816#74#303,87#3816#103#303,90#4285#173#291,90#4350#167#365,90#4350#221#365,90#4443#97#458,90#4521#255#536
فقال إبليس~61#1705#99#192
فقال إثبات~41#1163#134#252
فقال إحفظ~60#1678#11#476
فقال إخواني~60#1672#260#470
فقال إذا~41#1021#24#110,41#1029#124#118,41#1058#22#147,41#1170#15#259,41#1287#157#376,41#1313#123#403,46#1500#108#72,60#1648#188#446,70#1819#160#66,82#1983#46#70,82#2253#217#340,82#2320#185#407,82#2484#0#119,82#2524#290#159,87#3125#311#59,87#3206#167#140,87#3365#146#299,87#3454#296#388,87#3485#326#419,87#3509#236#443,87#3514#102#448,87#3538#420#25,87#3575#395#62,87#3575#433#62,30#361#254#21,87#3880#216#367,87#3977#146#464,87#3977#348#464,87#3979#111#466,87#3979#323#466,90#4038#0#44,90#4070#34#76,90#4207#111#213,90#4220#9#226,90#4236#138#242,90#4237#0#243,90#4247#104#253,90#4260#0#266,90#4273#17#279,90#4293#245#299,90#4294#176#300,90#4324#224#330,90#4333#29#348,90#4397#4#412,90#4416#192#431,90#4419#5#434,90#4419#15#434,90#4422#56#437,90#4443#228#458,90#4459#96#474,90#4464#206#479,39#816#6#137,39#825#104#146
فقال إذارفعت~23#223#61#133
فقال إزالة~39#788#92#107
فقال إسقاط~41#1285#66#374
فقال إطعام~87#3812#107#299,87#3812#128#299
فقال إعمل~87#3576#269#63
فقال إفراد~82#2559#152#194,90#4015#80#21,90#4448#153#463
فقال إلا~60#1654#99#452,87#3141#95#75,87#3203#297#137
فقال إلقاء~82#2088#99#175,90#4295#94#301
فقال إلهي~90#4408#67#423,90#4457#163#472
فقال إلى~41#1120#40#209,41#1176#66#265,41#1204#20#293,87#3437#222#371,87#3717#246#204,87#3886#4#373,90#4230#233#236,36#425#12#329,90#4297#76#303,90#4308#46#314,90#4314#157#320,90#4455#81#470,40#863#63#59
فقال إما~87#3829#315#316
فقال إن~41#1000#162#89,41#1001#98#90,41#1022#33#111,41#1022#77#111,41#1025#127#114,41#1026#222#115,41#1056#113#145,41#1077#65#166,41#1102#80#191,41#1283#24#372,44#1432#44#36,44#1454#179#58,46#1501#231#75,52#1536#91#50,60#1654#79#452,60#1672#176#470,82#2034#43#121,82#2227#147#314,82#2375#195#10,82#2387#150#22,82#2452#219#87,82#2454#262#89,82#2575#107#210,82#2686#306#321,82#2794#51#429,85#2927#29#73,87#3108#237#42,87#3124#29#58,87#3128#96#62,87#3141#151#75,87#3144#273#78,87#3176#241#110,87#3198#134#132,87#3203#56#137,87#3203#281#137,87#3230#456#164,87#3233#195#167,87#3234#333#168,87#3288#45#222,87#3296#48#230,87#3296#275#230,87#3299#371#233,87#3321#283#255,87#3323#164#257,87#3341#125#275,87#3343#395#277,87#3421#304#355,87#3424#401#358,87#3433#170#367,87#3434#331#368,87#3439#153#373,87#3468#43#402,87#3468#51#402,87#3502#414#436,87#3504#201#438,87#3529#35#16,87#3540#239#27,87#3543#266#30,87#3551#280#38,87#3634#83#121,87#3634#110#121,87#3637#581#124,87#3639#417#126,87#3757#357#244,87#3760#34#247,87#3779#121#266,87#3785#100#272,87#3785#261#272,87#3813#389#300,87#3825#292#312,87#3841#182#328,87#3851#277#338,87#3851#351#338,87#3884#26#371,87#3887#51#374,87#3896#235#383,87#3906#60#393,87#3911#288#398,87#3929#337#416,87#3957#379#444,87#3963#111#450,87#3967#193#454,87#3967#269#454,87#3968#77#455,87#3974#190#461,87#3974#248#461,87#3979#225#466,87#3979#282#466,87#3992#223#479,87#3992#292#479,90#4020#120#26,90#4035#69#41,90#4049#67#55,90#4057#151#63,90#4070#101#76,36#424#152#328,90#4269#106#275,90#4295#122#301,90#4298#248#304,90#4299#60#305,90#4299#72#305,90#4301#294#307,90#4308#83#314,90#4337#250#352,90#4369#188#384,90#4385#113#400,90#4403#181#418,90#4439#189#454,90#4463#194#478,90#4494#63#509,90#4547#75#562,39#735#119#54,39#838#197#159,40#867#16#63,3#88#35#213,41#949#83#38,41#949#105#38
فقال إنا~87#3958#43#445,39#802#15#123
فقال إنسان~90#4141#136#147
فقال إنك~52#1538#27#52,87#3233#161#167,87#3234#299#168,87#3851#319#338,87#3922#108#409,90#4386#33#401,41#988#102#77
فقال إنكم~87#3342#46#276,87#3363#88#297
فقال إنما~81#1913#95#15,82#1954#32#41,87#3266#137#200,87#3355#72#289,87#3476#3#410,87#3794#298#281,87#3879#404#366,87#3880#3#367,87#3957#398#444,87#3969#43#456,87#3974#394#461,90#4138#95#144,90#4195#135#201,90#4231#184#237,90#4372#23#387,90#4391#256#406
فقال إنه~41#1275#81#364,60#1675#207#473,87#3310#199#244,87#3540#49#27,87#3545#217#32,87#3546#194#33,87#3834#441#321,87#3912#245#399,90#4078#148#84,90#4207#212#213,90#4224#140#230,90#4250#129#256,90#4292#191#298,90#4369#227#384,90#4398#135#413,90#4460#111#475,90#4547#100#562
فقال إنها~43#1367#99#40,87#3254#262#188,87#3352#118#286,87#3998#446#485,90#4301#118#307,90#4301#124#307,90#4324#245#330,90#4393#68#408
فقال إنهم~87#3809#191#296,87#3968#48#455
فقال إنى~45#1476#165#350
فقال إني~41#1091#106#180,44#1458#116#62,82#2542#107#177,82#2542#239#177,87#3126#50#60,87#3178#56#112,87#3215#443#149,87#3326#232#260,87#3327#85#261,87#3329#176#263,87#3500#221#434,87#3525#222#12,87#3525#280#12,87#3528#375#15,87#3549#343#36,87#3549#379#36,87#3568#289#55,87#3569#299#56,87#3596#339#83,87#3700#190#187,87#3738#67#225,87#3756#187#243,87#3776#149#263,87#3799#322#286,87#3809#358#296,87#3811#199#298,87#3811#238#298,87#3834#117#321,87#3848#263#335,87#3887#165#374,87#3929#326#416,87#3932#125#419,87#3947#367#434,87#3966#186#453,87#3969#358#456,87#3994#91#481,90#4046#64#52,90#4251#151#257,90#4310#54#316,90#4332#110#347,90#4390#130#405,90#4391#109#406,90#4416#57#431
فقال إهمال~82#2322#257#409
فقال إياك~87#3357#365#291
فقال إياي~87#3622#122#109
فقال إيش~90#4092#67#98,90#4369#99#384
فقال ائتني~87#3960#39#447
فقال ابشروا~46#1492#30#64
فقال ابكوا~90#4379#103#394
فقال ابن~87#3321#358#255,87#3321#393#255,87#3321#424#255,87#3493#283#427,87#3515#44#449,87#3912#29#399,87#3969#469#456,87#3978#230#465,90#4022#156#28,90#4285#127#291,37#490#18#99
فقال ابو~45#1474#110#348
فقال اتخذ~41#952#95#41
فقال اتصال~82#2786#100#421
فقال اتق~41#1287#26#376,52#1538#114#52
فقال اتقوى~52#1536#80#50
فقال اجعل~87#3700#142#187
فقال اجعلوا~87#3786#252#273
فقال اجوع~46#1495#198#67
فقال احبه~52#1539#274#53
فقال احتجموا~87#3546#590#33
فقال احذر~90#4398#72#413
فقال احسن~52#1540#48#54
فقال احمدوا~90#4360#220#375
فقال احمل~60#1672#198#470
فقال احملني~87#3628#178#115
فقال اختاروا~87#3835#31#322
فقال اخنق~25#290#98#65
فقال اخوف~60#1687#2#485
فقال ادخل~90#4377#28#392
فقال ادع~87#3550#99#37,87#3550#110#37,87#3632#176#119,90#4020#116#26,90#4292#146#298
فقال ادعوني~82#2579#194#214
فقال ادنه~81#1921#59#23
فقال اذكر~90#4363#141#378,41#960#67#49
فقال اذهب~41#1179#53#268,87#3438#291#372,87#3447#89#381,87#3496#180#430,87#3890#131#377
فقال اذهبوا~87#3327#55#261,87#3492#61#426,87#3563#31#50,90#4257#259#263
فقال اذهبي~90#4406#180#421
فقال ارجع~82#2699#117#334,90#4296#180#302
فقال اركب~87#3233#39#167,87#3234#177#168
فقال ارى~52#1538#177#52
فقال اسبق~80#1895#230#20
فقال استبشار~41#1095#136#184
فقال استجد~87#3958#362#445
فقال استحي~90#4354#34#369
فقال استحياء~90#4447#126#462
فقال استحيوا~87#3483#291#417
فقال استحييت~90#4368#255#383
فقال استرسال~90#4426#202#441
فقال استعد~87#3596#336#83,87#3596#343#83
فقال استعمل~41#1055#12#144
فقال استغفار~90#4235#195#241
فقال استفت~87#3328#306#262
فقال استواء~41#1239#89#328
فقال استوى~90#4023#45#29
فقال اسجدوا~82#1968#179#55
فقال اسقوني~87#3903#261#390
فقال اسكت~87#3339#396#273,87#3502#22#436,90#4375#188#390
فقال اسم~41#1254#4#343
فقال اسمي~87#3620#200#107
فقال اشار~41#1127#44#216
فقال اشتر~87#3544#64#31,87#3811#48#298,90#4375#260#390
فقال اشتريته~90#4416#38#431
فقال اشتغالك~41#1102#46#191
فقال اشتهى~82#2503#102#138
فقال اشكر~90#4308#7#314,90#4308#90#314
فقال اشهد~39#756#213#75
فقال اصبر~87#3536#210#23,90#4392#105#407
فقال اصلح~52#1537#239#51
فقال اعبدوه~87#3517#181#4
فقال اعتراضي~87#3584#136#71
فقال اعتقد~90#4377#206#392
فقال اعتقدت~90#4377#196#392,90#4377#210#392
فقال اعتماد~41#1102#36#191
فقال اعزلوا~87#3493#176#427
فقال اعلم~90#4300#104#306
فقال اعمل~25#240#81#15
فقال اعملوا~39#726#193#45,39#758#52#77
فقال افشي~87#3346#65#280
فقال افلا~28#340#132#37
فقال اقتلوه~54#1552#272#58
فقال اقرأ~87#3762#233#249
فقال اقرأوا~87#3276#488#210
فقال اقروا~45#1473#1#347
فقال اقطع~87#3974#367#461
فقال اقعد~90#4371#221#386
فقال اقلب~40#895#126#91
فقال اكتسب~87#3984#48#471
فقال اكس~90#4039#65#45
فقال اكسروا~41#1326#36#416
فقال اكفف~87#3795#172#282
فقال الآخر~87#3713#252#200,87#3715#124#202,87#3774#320#261,90#4224#184#230
فقال الأبد~82#2776#132#411
فقال الأبلة~41#1271#11#360
فقال الأخذ~90#4297#93#303
فقال الأخلاق~41#1209#129#298
فقال الأخير~90#4225#0#231
فقال الأدنى~87#3477#448#411
فقال الأرواح~87#3905#181#392
فقال الأستاذ~90#4161#28#167,90#4161#41#167,90#4328#240#342,90#4362#35#377,90#4376#30#391
فقال الأعرابي~87#3424#179#358,90#4397#29#412
فقال الأعمش~87#3942#335#429
فقال الأكل~90#4296#152#302
فقال الأمر~87#3841#266#328
فقال الأوقات~41#1234#36#323
فقال الإبل~87#3962#276#449
فقال الإخلاص~82#2212#79#299,90#4346#204#361
فقال الإشارة~41#1181#193#270
فقال الإشكال~41#1179#22#268
فقال الإعراض~82#2566#151#201
فقال الإمام~87#3536#270#23
فقال الإيمان~60#1648#83#446,60#1648#140#446,87#3276#570#210,39#762#127#81,39#764#100#83
فقال الاعتراف~41#1183#20#272
فقال البخل~87#3829#343#316
فقال البقال~90#4231#109#237
فقال البلاء~82#2176#8#263
فقال البواب~77#1867#217#58
فقال البيعة~41#1253#147#342
فقال التجافى~46#1483#196#55
فقال التجربة~90#4299#82#305
فقال التجمل~87#3838#345#325
فقال التشهد~87#3867#169#354
فقال التعدي~41#1019#116#108
فقال التعلق~90#4295#167#301
فقال التفرد~82#2797#12#432
فقال التفقه~90#4432#14#447
فقال التكبر~87#3601#346#88
فقال التلميذ~90#4328#221#342
فقال التواصي~41#1152#51#241
فقال التوبة~24#229#7#139,90#4206#117#212
فقال التوحيد~90#4021#13#27
فقال التوكل~41#1155#154#244,41#1223#99#312,82#2256#0#343
فقال التولية~82#2173#111#260
فقال الثقة~41#1137#27#226,82#2429#253#64,90#4100#27#106
فقال الثلاثة~87#3861#360#348
فقال الثوري~87#3586#171#73,87#3586#201#73,87#3947#332#434
فقال الجمل~90#4141#52#147
فقال الجمهور~39#718#43#37,39#718#127#37
فقال الجنيد~41#1016#123#105,41#1016#144#105,41#1042#168#131,41#1172#53#261,82#2228#204#315,82#2463#55#98,87#3848#240#335,87#3848#254#335,87#3848#288#335,87#3848#306#335,87#3851#8#338,87#3945#124#432,90#4073#0#79,90#4155#107#161,90#4192#126#198,90#4225#145#231,90#4330#12#344,90#4377#203#392,90#4377#229#392,90#4381#117#396,90#4407#7#422,90#4434#222#449,90#4465#79#480,90#4468#27#483,39#810#71#131
فقال الحال~41#1007#174#96
فقال الحب~41#1085#136#174,41#1278#150#367,87#3611#274#98
فقال الحزني~90#4263#88#269
فقال الحسن~87#3315#157#249,87#3322#320#256,87#3766#88#253
فقال الحسين~90#4294#211#300,90#4357#147#372
فقال الحقيقة~41#1175#154#264,41#1208#120#297
فقال الحكايات~90#4339#87#354
فقال الحكيم~90#4290#57#296
فقال الحلاوة~87#3375#51#309
فقال الحمد~82#1943#23#30,82#2472#92#107,87#3337#121#271,87#3589#249#76
فقال الحمية~41#1235#163#324
فقال الحياء~87#3351#115#285,40#853#97#49
فقال الخروج~90#4360#129#375
فقال الخشوع~90#4269#203#275
فقال الخفيف~41#1254#96#343
فقال الخلق~41#1216#116#305
فقال الخليل~82#2443#73#78
فقال الدخول~90#4426#21#441
فقال الدقي~90#4158#83#164
فقال الدنو~87#3980#56#467
فقال الدنيا~44#1448#66#52
فقال الذاكرون~39#785#18#104
فقال الذكر~87#3794#296#281,90#4362#30#377
فقال الذي~41#1050#103#139,41#1072#158#161,41#1102#148#191,41#1202#149#291,82#2009#85#96,82#2103#117#190,82#2138#201#225,82#2551#7#186,87#3735#75#222,90#4423#9#438,90#4428#125#443,90#4467#87#482
فقال الذين~82#2682#238#317,87#3096#28#30,87#3272#51#206
فقال الراضي~41#973#95#62
فقال الرب~77#1865#97#56
فقال الربض~87#3969#441#456
فقال الرجل~82#1946#298#33,82#2228#215#315,82#2779#108#414,87#3300#385#234,87#3447#401#381,87#3622#341#109,87#3622#362#109,87#3634#372#121,87#3848#297#335,87#3907#528#394,90#4159#6#165,90#4216#215#222,90#4367#163#382,90#4367#192#382,90#4369#9#384,90#4369#17#384,90#4369#40#384,90#4369#144#384,90#4370#126#385,90#4410#196#425,90#4444#34#459,37#445#67#53,41#962#166#51,41#981#75#70
فقال الرحمن~90#4023#24#29
فقال الرزق~87#3539#123#26
فقال الرضا~41#1039#93#128
فقال الزم~90#4219#108#225
فقال الزمه~60#1678#40#476
فقال الزهد~41#1023#47#112,41#1196#85#285
فقال الزهري~87#3735#183#222
فقال الزوج~90#4391#19#406
فقال السائل~90#4020#53#26,90#4295#91#301,90#4295#174#301,90#4452#125#467
فقال الساعة~90#4048#94#54
فقال السايل~46#1506#293#78
فقال السري~90#4395#197#410
فقال السلام~43#1371#68#45,87#3741#186#228,87#3745#209#232
فقال السلطان~87#3722#246#209
فقال السنة~41#985#8#74
فقال السوادي~87#3798#231#285
فقال السياف~90#4389#89#404
فقال السيد~90#4331#215#345
فقال الشاب~90#4309#175#315,90#4377#198#392,90#4377#220#392,90#4413#9#428,90#4500#255#515
فقال الشافعى~45#1478#93#352
فقال الشبع~82#2798#232#433
فقال الشبلي~41#1172#42#261,54#1553#55#59,90#4175#26#181,90#4499#75#514
فقال الشخص~87#3179#54#113
فقال الشريعة~41#1271#177#360
فقال الشهود~39#798#141#119
فقال الشيخ~80#1901#42#26,90#4134#130#140,90#4187#110#193,90#4217#0#223,90#4362#44#377,90#4367#118#382
فقال الشيطان~87#3506#110#440
فقال الصابرين~41#1190#61#279
فقال الصادق~90#4351#74#366
فقال الصادقون~82#2509#36#144
فقال الصبر~41#1250#141#339,87#3392#143#326,87#3403#221#337,87#3912#190#399,90#4132#79#138,90#4318#82#324,90#4318#90#324,90#4321#58#327,90#4321#118#327
فقال الصدق~25#230#43#5
فقال الصلاة~41#1173#50#262,87#3117#381#51
فقال الصمد~82#1944#251#31
فقال الصواب~90#4242#176#248
فقال الصوفي~41#1280#81#369
فقال الضيف~90#4271#164#277,90#4271#193#277
فقال الطبيب~90#4078#140#84
فقال الطرق~41#1108#201#197
فقال الطمع~90#4230#127#236,41#972#36#61
فقال الطير~90#4518#218#533
فقال العابد~87#3785#332#272
فقال العارف~87#3460#63#394
فقال العباس~87#3903#263#390
فقال العبد~90#4275#85#281,90#4324#257#330
فقال العقل~41#1240#107#329,62#1717#121#69
فقال العلم~41#1208#127#297,87#3311#253#245
فقال العناية~82#2440#36#75
فقال الغاية~87#3583#115#70
فقال الغذاء~87#3543#106#30
فقال الغلام~87#3176#116#110,90#4324#168#330,90#4369#45#384
فقال الفؤاد~87#3598#364#85,87#3599#116#86
فقال الفاسق~87#3951#4#438
فقال الفتوة~41#1016#186#105,82#2683#164#318
فقال الفتى~90#4531#118#546
فقال الفزاري~87#3810#268#297
فقال الفقر~41#1246#90#335,82#2192#79#279,82#2524#193#159,82#2525#24#160
فقال الفقه~44#1427#104#31,87#3510#212#444
فقال الفقير~90#4500#259#515
فقال القائمون~41#1019#132#108
فقال القحطي~90#4151#37#157
فقال القدوم~90#4248#118#254,90#4454#46#469,90#4458#162#473
فقال القرظي~87#3359#124#293
فقال القوالما~41#1077#24#166
فقال القوالوأشد~41#1077#44#166
فقال القوام~87#3543#98#30
فقال الكفاية~90#4299#177#305
فقال الكفر~90#4020#19#26
فقال الكوفيون~87#3188#199#122
فقال اللقاط~87#3964#223#451
فقال الله~41#1332#1#422,53#1546#13#402,58#1626#72#27,21#204#102#172,82#2246#16#333,82#2373#103#8,82#2414#82#49,85#2927#150#73,87#3318#142#252,87#3414#125#348,87#3430#37#364,87#3449#132#383,87#3600#327#87,30#361#263#21,87#3677#133#164,87#3737#76#224,87#3836#260#323,87#3903#103#390,87#3935#430#422,90#4022#59#28,90#4251#30#257,90#4340#22#355,90#4354#161#369,90#4354#212#369,90#4444#0#459,90#4447#107#462,3#89#12#214
فقال اللهم~1#15#85#95,54#1549#58#55,87#3087#223#21,87#3206#112#140,87#3627#296#114,87#3744#299#231,87#3774#293#261,90#4410#202#425
فقال المأمون~87#3876#179#363
فقال المؤذن~87#3869#181#356,90#4536#207#551
فقال المؤمن~87#3244#193#178,87#3466#58#400
فقال المتكلمون~87#3327#177#261
فقال المجوسي~90#4256#49#262
فقال المحبة~41#1291#146#380,82#2356#123#443,41#996#49#85
فقال المخنث~90#4259#35#265
فقال المدني~87#3830#293#317,90#4389#28#404
فقال المريد~41#1182#27#271,41#1219#4#308,41#1279#179#368,82#2273#228#360,87#3628#86#115,36#425#151#329,90#4340#92#355
فقال المستمع~45#1479#23#353
فقال المسكين~87#3232#131#166,87#3810#211#297
فقال المسلمون~87#3998#452#485
فقال المضطر~87#3522#126#9
فقال المطالب~41#1019#6#108
فقال المعرفة~90#4014#173#20,90#4015#146#21
فقال المكاتب~90#4357#167#372
فقال الملك~77#1871#59#62
فقال المنكر~87#3366#456#300
فقال المهاجر~87#3430#143#364
فقال الموافقة~41#1061#78#150
فقال الناس~42#1339#35#4,87#3646#397#133,90#4159#86#165
فقال النبى~45#1474#120#348,46#1495#108#67,25#256#80#31
فقال النبي~41#1059#61#148,42#1343#216#8,43#1393#77#80,43#1398#76#89,44#1453#58#57,82#2307#166#394,25#261#114#36,25#262#14#37,87#3424#308#358,87#3424#392#358,87#3424#412#358,87#3447#356#381,87#3532#55#19,87#3546#142#33,87#3546#471#33,87#3556#1#43,87#3854#328#341,87#3907#534#394,87#3944#157#431,87#3992#297#479,39#759#41#78
فقال النصراباذي~90#4503#171#518
فقال النظر~41#1086#78#175,90#4082#3#88,90#4214#4#220
فقال النور~82#2349#30#436
فقال الهمة~41#1266#76#355
فقال الهندي~87#3798#201#285
فقال الولي~82#2220#189#307
فقال الى~13#156#107#62
فقال اليقين~90#4314#27#320
فقال اليهودي~87#3886#277#373
فقال اما~52#1539#75#53
فقال امسك~37#436#19#44
فقال امض~90#4384#161#399
فقال املأها~82#2501#191#136
فقال ان~60#1648#200#446
فقال انا~61#1707#105#194,36#424#207#328
فقال انتم~36#425#137#329
فقال انحطاطهم~90#4424#59#439
فقال انزع~90#4375#69#390
فقال انطلق~46#1492#121#64
فقال انظر~42#1341#21#6,82#2646#268#281,85#2962#24#108,87#3997#30#484
فقال انظروا~46#1492#94#64
فقال انكم~67#1783#111#49
فقال انه~57#1602#75#173
فقال انهه~87#3354#111#288
فقال اوه~82#2579#159#214
فقال اي~46#1495#95#67
فقال بأبي~87#3484#124#418
فقال بأربعمائة~87#3952#358#439
فقال بأي~87#3174#323#108
فقال بإنصاف~41#1034#132#123
فقال بئسما~90#4386#275#401
فقال بارك~87#3889#27#376
فقال بالبصر~90#4129#34#135
فقال بالصبر~41#1243#20#332
فقال بالصدق~87#3511#382#445
فقال بالله~41#980#116#69
فقال بالورعووقف~90#4232#20#238
فقال ببطن~90#4051#59#57,90#4465#130#480,41#984#113#73
فقال ببغض~41#1178#42#267
فقال بترك~87#3381#385#315,87#3603#264#90
فقال بتوبة~81#1909#61#11
فقال بثلاث~90#4301#194#307
فقال بجناح~61#1698#111#179
فقال بحذائي~90#4532#30#547
فقال بحق~87#3633#291#120
فقال بخير~87#3408#392#342,87#3408#399#342
فقال بذل~82#2520#132#155
فقال بذلك~41#1255#15#344
فقال برياضات~41#1170#137#259
فقال بسوء~41#1198#6#287,82#2628#173#263
فقال بشر~46#1503#188#75,46#1503#229#75,46#1506#133#78,87#3560#43#47,87#3875#187#362,90#4043#107#49,41#962#95#51
فقال بشرط~90#4366#159#381,90#4444#15#459
فقال بصبره~87#3914#384#401
فقال بطرس~77#1868#62#59,77#1868#151#59,77#1870#79#61,80#1891#234#16,80#1894#75#19,80#1896#160#21,80#1896#181#21,80#1897#8#22,80#1897#19#22,80#1898#277#23,80#1898#288#23
فقال بعد~90#4458#191#473,90#4458#197#473
فقال بعض~87#3374#241#308,87#3931#286#418,90#4059#150#65,90#4085#46#91,90#4285#81#291,90#4397#46#412,39#810#65#131
فقال بعضهم~44#1414#97#18,46#1495#99#67,87#3137#56#71,87#3373#274#307,87#3866#238#353,87#3941#32#428,87#3990#272#477,90#4034#109#40,90#4444#213#459,90#4472#77#487,39#720#6#39,39#755#137#74
فقال بعناه,~90#4031#39#37
فقال بعين~90#4465#164#480
فقال بفسخ~87#3216#34#150
فقال بقلب~81#1909#93#11
فقال بقيس~87#3896#73#383
فقال بقينا~90#4303#112#309
فقال بكتاب~87#3353#154#287
فقال بكثرة~90#4262#115#268
فقال بكم~87#3951#376#438,87#3952#353#439
فقال بل~82#1969#119#56,82#1988#238#75,82#2430#172#65,87#3429#423#363,87#3593#63#80,87#3688#94#175,87#3721#26#208,87#3885#397#372,87#3903#322#390,87#3958#16#445,90#4454#108#469
فقال بلال~40#889#104#85
فقال بلطف~41#1224#62#313
فقال بلغنا~87#3819#181#306
فقال بلغني~90#4499#23#514
فقال بلمعة~90#4467#19#482
فقال بلى~82#1992#43#79,87#3434#323#368,87#3585#99#72,87#3662#174#149,90#4357#100#372
فقال بلى,~90#4038#32#44
فقال بما~87#3336#87#270
فقال بماذا~87#3293#305#227
فقال بني~87#3391#394#325
فقال بهذه~87#3088#399#22
فقال بولص~76#1862#77#226
فقال بين~87#3116#64#50,90#4048#73#54
فقال بينا~90#4383#141#398
فقال تبارك~2#25#14#23,25#259#59#34,82#2704#66#339
فقال تبت~90#4258#144#264
فقال تجرع~90#4316#207#322
فقال تحتاج~87#3803#3#290
فقال تحسن~90#4500#111#515
فقال تحويل~41#1170#94#259
فقال تخضع~90#4272#136#278
فقال تدرون~87#3681#8#168,87#3964#156#451
فقال تذاكرنا~87#3996#53#483
فقال تذكرت~90#4052#235#58,90#4167#66#173
فقال تذلل~90#4270#73#276
فقال تربت~46#1506#298#78
فقال ترك~41#1018#162#107,41#1019#15#108,41#1134#165#223,41#1254#17#343,82#2248#168#335,90#4241#225#247,90#4299#88#305,90#4366#129#381,39#706#150#25
فقال تركت~90#4280#162#286,90#4282#176#288
فقال تركتهم~87#3841#67#328
فقال تريد~41#1046#41#135
فقال تسألني~39#774#25#93
فقال تصدق~87#3973#45#460
فقال تصفية~41#1257#21#346,39#706#158#25
فقال تعال~87#3323#161#257,87#3754#383#241
